ID,Created,Title,Reason for desk reservation,DeskText,Reserved By,Check Out From,Check Out To,Check Out From Text,Check Out To Text,Check Out From Number,Check Out To Number,Service,Description,RoomReservation,Manager,Asset,RecurrenceFrequency,RecurrenceEndDate,MeetingCategory,RecurrenceID,RecurrenceDayName,RecurrenceTimes,OptionalAttendees,DeskFloor,IsRecurring,OutlookEventID,Created By,OutlookSeriesID,RecurrencePattern,ParentReservationID,Floor
77,10/27/2025 11:59,"lastName, firstName A. - Bldg. 6, RM317, Desk 11 @ 11/18/2025 00:00",Learning Labs,"Bldg. 6, RM317, Desk 11","lastName, firstName A.",11/18/25 0:00,11/18/25 23:00,11/18/2025 00:00,11/18/2025 23:00,45979.00,45979.96,HIS,Learning Labs,TRUE,"lastName, firstName A.",Desk,,11/18/2025,Super User Training,46,,,,"Bldg. 6, RM317",TRUE,,"lastName, firstName A.",,,,
78,10/27/2025 11:59,"lastName, firstName A. - Bldg. 6, RM317, Desk 10 @ 11/18/2025 00:00",Learning Labs,"Bldg. 6, RM317, Desk 10","lastName, firstName A.",11/18/25 0:00,11/18/25 23:00,11/18/2025 00:00,11/18/2025 23:00,45979.00,45979.96,HIS,Learning Labs,TRUE,"lastName, firstName A.",Desk,,11/18/2025,Super User Training,46,,,,"Bldg. 6, RM317",TRUE,,"lastName, firstName A.",,,,
79,10/27/2025 12:01,"lastName, firstName A. - Bldg. 6, RM317, Desk 9 @ 11/18/2025 00:00",learning labs,"Bldg. 6, RM317, Desk 9","lastName, firstName A.",11/18/25 0:00,11/18/25 23:00,11/18/2025 00:00,11/18/2025 23:00,45979.00,45979.96,his,learning labs,TRUE,"lastName, firstName A.",Desk,,11/18/2025,Super User Training,47,,,,"Bldg. 6, RM317",TRUE,,"lastName, firstName A.",,,,
80,10/27/2025 12:01,"lastName, firstName A. - Bldg. 6, RM317, Desk 8 @ 11/18/2025 00:00",learning labs,"Bldg. 6, RM317, Desk 8","lastName, firstName A.",11/18/25 0:00,11/18/25 23:00,11/18/2025 00:00,11/18/2025 23:00,45979.00,45979.96,his,learning labs,TRUE,"lastName, firstName A.",Desk,,11/18/2025,Super User Training,47,,,,"Bldg. 6, RM317",TRUE,,"lastName, firstName A.",,,,
81,10/27/2025 12:01,"lastName, firstName A. - Bldg. 6, RM317, Desk 7 @ 11/18/2025 00:00",learning labs,"Bldg. 6, RM317, Desk 7","lastName, firstName A.",11/18/25 0:00,11/18/25 23:00,11/18/2025 00:00,11/18/2025 23:00,45979.00,45979.96,his,learning labs,TRUE,"lastName, firstName A.",Desk,,11/18/2025,Super User Training,47,,,,"Bldg. 6, RM317",TRUE,,"lastName, firstName A.",,,,
82,10/27/2025 12:01,"lastName, firstName A. - Bldg. 6, RM317, Desk 6 @ 11/18/2025 00:00",learning labs,"Bldg. 6, RM317, Desk 6","lastName, firstName A.",11/18/25 0:00,11/18/25 23:00,11/18/2025 00:00,11/18/2025 23:00,45979.00,45979.96,his,learning labs,TRUE,"lastName, firstName A.",Desk,,11/18/2025,Super User Training,47,,,,"Bldg. 6, RM317",TRUE,,"lastName, firstName A.",,,,
83,10/27/2025 12:01,"lastName, firstName A. - Bldg. 6, RM317, Desk 5 @ 11/18/2025 00:00",learning labs,"Bldg. 6, RM317, Desk 5","lastName, firstName A.",11/18/25 0:00,11/18/25 23:00,11/18/2025 00:00,11/18/2025 23:00,45979.00,45979.96,his,learning labs,TRUE,"lastName, firstName A.",Desk,,11/18/2025,Super User Training,47,,,,"Bldg. 6, RM317",TRUE,,"lastName, firstName A.",,,,
84,10/27/2025 12:01,"lastName, firstName A. - Bldg. 6, RM317, Desk 4 @ 11/18/2025 00:00",learning labs,"Bldg. 6, RM317, Desk 4","lastName, firstName A.",11/18/25 0:00,11/18/25 23:00,11/18/2025 00:00,11/18/2025 23:00,45979.00,45979.96,his,learning labs,TRUE,"lastName, firstName A.",Desk,,11/18/2025,Super User Training,47,,,,"Bldg. 6, RM317",TRUE,,"lastName, firstName A.",,,,
85,10/27/2025 12:01,"lastName, firstName A. - Bldg. 6, RM317, Desk 3 @ 11/18/2025 00:00",learning labs,"Bldg. 6, RM317, Desk 3","lastName, firstName A.",11/18/25 0:00,11/18/25 23:00,11/18/2025 00:00,11/18/2025 23:00,45979.00,45979.96,his,learning labs,TRUE,"lastName, firstName A.",Desk,,11/18/2025,Super User Training,47,,,,"Bldg. 6, RM317",TRUE,,"lastName, firstName A.",,,,
86,10/27/2025 12:01,"lastName, firstName A. - Bldg. 6, RM317, Desk 2 @ 11/18/2025 00:00",learning labs,"Bldg. 6, RM317, Desk 2","lastName, firstName A.",11/18/25 0:00,11/18/25 23:00,11/18/2025 00:00,11/18/2025 23:00,45979.00,45979.96,his,learning labs,TRUE,"lastName, firstName A.",Desk,,11/18/2025,Super User Training,47,,,,"Bldg. 6, RM317",TRUE,,"lastName, firstName A.",,,,
